relocating_to,nationality,visa_status,income_range,family_relocating,general,general_Family,general_visa_work,ZAV,visa_work,Visa_family,RP_work,RP_Family,RP_change,Registration
DE-HAMBURG,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,visa,0-30.000,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,visa,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-BERLIN,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-MUENCHEN,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-KOELN,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-BONN,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-STUTTGART,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-DUESSELDORF,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-FRANKFURT,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-DORTMUND,Privileged,visa,0-30.000,Yes,1,1,,,,,,,1,
DE-HAMBURG,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,visa,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,visa,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,job seeker,0-30.000,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-BERLIN,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-MUENCHEN,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-KOELN,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-BONN,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-STUTTGART,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-DUESSELDORF,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-FRANKFURT,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-DORTMUND,Privileged,job seeker,0-30.000,Yes,1,1,,,,,,,1,
DE-HAMBURG,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-BERLIN,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-MUENCHEN,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-KOELN,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-BONN,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,job seeker,0-30.000,Yes,1,1,,,,,,,,
