"relocating_to","nationality","visa_type","salary_range","family_relocating"
"DE-HAMBURG","Third-country","visa","0-30.000","Yes"
"DE-BERLIN","Third-country","visa","0-30.000","Yes"
"DE-MUENCHEN","Third-country","visa","0-30.000","Yes"
"DE-KOELN","Third-country","visa","0-30.000","Yes"
"DE-BONN","Third-country","visa","0-30.000","Yes"
"DE-STUTTGART","Third-country","visa","0-30.000","Yes"
"DE-DUESSELDORF","Third-country","visa","0-30.000","Yes"
"DE-FRANKFURT","Third-country","visa","0-30.000","Yes"
"DE-DORTMUND","Third-country","visa","0-30.000","Yes"
"DE-HAMBURG","EU","visa","0-30.000","Yes"
"DE-BERLIN","EU","visa","0-30.000","Yes"
"DE-MUENCHEN","EU","visa","0-30.000","Yes"
"DE-KOELN","EU","visa","0-30.000","Yes"
"DE-BONN","EU","visa","0-30.000","Yes"
"DE-STUTTGART","EU","visa","0-30.000","Yes"
"DE-DUESSELDORF","EU","visa","0-30.000","Yes"
"DE-FRANKFURT","EU","visa","0-30.000","Yes"
"DE-DORTMUND","EU","visa","0-30.000","Yes"
"DE-HAMBURG","Privileged","visa","0-30.000","Yes"
"DE-BERLIN","Privileged","visa","0-30.000","Yes"
"DE-MUENCHEN","Privileged","visa","0-30.000","Yes"
"DE-KOELN","Privileged","visa","0-30.000","Yes"
"DE-BONN","Privileged","visa","0-30.000","Yes"
"DE-STUTTGART","Privileged","visa","0-30.000","Yes"
"DE-DUESSELDORF","Privileged","visa","0-30.000","Yes"
"DE-FRANKFURT","Privileged","visa","0-30.000","Yes"
"DE-DORTMUND","Privileged","visa","0-30.000","Yes"
"DE-HAMBURG","GB","visa","0-30.000","Yes"
"DE-BERLIN","GB","visa","0-30.000","Yes"
"DE-MUENCHEN","GB","visa","0-30.000","Yes"
"DE-KOELN","GB","visa","0-30.000","Yes"
"DE-BONN","GB","visa","0-30.000","Yes"
"DE-STUTTGART","GB","visa","0-30.000","Yes"
"DE-DUESSELDORF","GB","visa","0-30.000","Yes"
"DE-FRANKFURT","GB","visa","0-30.000","Yes"
"DE-DORTMUND","GB","visa","0-30.000","Yes"
"DE-HAMBURG","Switzerland","visa","0-30.000","Yes"
"DE-BERLIN","Switzerland","visa","0-30.000","Yes"
"DE-MUENCHEN","Switzerland","visa","0-30.000","Yes"
"DE-KOELN","Switzerland","visa","0-30.000","Yes"
"DE-BONN","Switzerland","visa","0-30.000","Yes"
"DE-STUTTGART","Switzerland","visa","0-30.000","Yes"
"DE-DUESSELDORF","Switzerland","visa","0-30.000","Yes"
"DE-FRANKFURT","Switzerland","visa","0-30.000","Yes"
"DE-DORTMUND","Switzerland","visa","0-30.000","Yes"
"DE-HAMBURG","Third-country","job seeker","0-30.000","Yes"
"DE-BERLIN","Third-country","job seeker","0-30.000","Yes"
"DE-MUENCHEN","Third-country","job seeker","0-30.000","Yes"
"DE-KOELN","Third-country","job seeker","0-30.000","Yes"
"DE-BONN","Third-country","job seeker","0-30.000","Yes"
"DE-STUTTGART","Third-country","job seeker","0-30.000","Yes"
"DE-DUESSELDORF","Third-country","job seeker","0-30.000","Yes"
"DE-FRANKFURT","Third-country","job seeker","0-30.000","Yes"
"DE-DORTMUND","Third-country","job seeker","0-30.000","Yes"
"DE-HAMBURG","EU","job seeker","0-30.000","Yes"
"DE-BERLIN","EU","job seeker","0-30.000","Yes"
"DE-MUENCHEN","EU","job seeker","0-30.000","Yes"
"DE-KOELN","EU","job seeker","0-30.000","Yes"
"DE-BONN","EU","job seeker","0-30.000","Yes"
"DE-STUTTGART","EU","job seeker","0-30.000","Yes"
"DE-DUESSELDORF","EU","job seeker","0-30.000","Yes"
"DE-FRANKFURT","EU","job seeker","0-30.000","Yes"
"DE-DORTMUND","EU","job seeker","0-30.000","Yes"
"DE-HAMBURG","Privileged","job seeker","0-30.000","Yes"
"DE-BERLIN","Privileged","job seeker","0-30.000","Yes"
"DE-MUENCHEN","Privileged","job seeker","0-30.000","Yes"
"DE-KOELN","Privileged","job seeker","0-30.000","Yes"
"DE-BONN","Privileged","job seeker","0-30.000","Yes"
"DE-STUTTGART","Privileged","job seeker","0-30.000","Yes"
"DE-DUESSELDORF","Privileged","job seeker","0-30.000","Yes"
"DE-FRANKFURT","Privileged","job seeker","0-30.000","Yes"
"DE-DORTMUND","Privileged","job seeker","0-30.000","Yes"
"DE-HAMBURG","GB","job seeker","0-30.000","Yes"
"DE-BERLIN","GB","job seeker","0-30.000","Yes"
"DE-MUENCHEN","GB","job seeker","0-30.000","Yes"
"DE-KOELN","GB","job seeker","0-30.000","Yes"
"DE-BONN","GB","job seeker","0-30.000","Yes"
